network_connectivity_state	acc_vs_loc	time_since_last_successful_ping	gps_accuracy_1	gps_accuracy_2	gps_accuracy_3	gps_accuracy_4	gps_accuracy_5	area_risk	is_anomaly	anomaly_score
1	1	3	10.575148521740678	3.0416230646673945	4.163770665699152	19.89036414570073	7.616416756084802	low	False	-0.11450586843719635
1	0	19	8.080492349477312	24.54764700543162	11.689997974725271	5.078728787671807	20.46929442330707	high	False	-0.10259464256186457
0	1	230	51.516671541209895	60.090339551321605	40.99766793088499	55.56074377125559	65.13658399419027	high	True	-0.26623929797573087
1	1	15	16.975754252268786	4.802616390545943	11.219934054411713	11.986275448312968	15.716762497156168	low	False	-0.12433726797515277
1	1	6	7.931009254302891	18.756790143797552	7.861439382067834	5.27767205979263	10.477168011374635	low	False	-0.07482839563924759
1	1	19	18.213820871902968	11.703341993055115	9.893047285258715	5.51072172570391	11.033954227524474	low	False	-0.09804660057140002
1	1	39	14.257197237353749	17.7120856883628	17.732619072163732	7.306371755808893	10.460487603062722	low	False	-0.1456909867527142
1	1	107	8.737767441393238	23.275549320408548	5.1226356333635215	20.26031139753708	5.393669062490016	med	True	-0.19418725898498979
1	1	61	6.77301548554966	6.657551295552867	3.468443253118268	9.254080329407511	13.02604960503247	low	False	-0.11847858994003746
1	1	2	7.3966244295580355	13.185995578665652	5.639258947338291	13.173188114865471	15.62196654183137	low	False	-0.11922274975189007
1	1	2	13.9899979483055	4.066627842003715	5.754566326460457	16.91179941776044	19.574631325335773	med	True	-0.15166951228464987
1	1	20	11.936722588776767	15.585456307822945	7.540644635677351	18.91059488051572	13.786047583777094	low	False	-0.13502143079015383
1	1	12	15.21158289478005	18.431726221244176	15.41035042830502	15.989940658570369	4.319220351151918	med	True	-0.16505766051400683
1	1	29	16.17022011307914	5.625114672102181	19.646834465674512	6.622763407958594	16.62440798279373	low	True	-0.15513283484081208
1	1	6	5.257780163432066	13.886733967355024	12.790809964750812	4.3915232004992255	13.531629306361802	med	False	-0.12301266753881313
1	1	3	15.359841212992109	7.171532246893504	19.36766314724309	6.582028378043372	9.296021558477076	low	False	-0.10404250041815954
1	1	16	10.898964133552404	13.657431689105763	9.64316839059762	18.15745574662042	6.603621345873881	low	False	-0.10581762750399071
1	1	3	16.87554519940818	3.022377112804283	18.592172255550626	7.898453561167251	19.77788730934841	med	True	-0.17571526934383752
1	1	2	3.4174651521919586	16.920697079945246	13.26646459772754	3.0480287125146046	14.84952037952744	low	True	-0.16890363256939023
1	1	3	16.168317442878358	17.473617114078372	6.467233018602948	18.05385332489228	9.715357347994708	low	False	-0.13929574564339142
1	1	32	19.47351369768827	9.173251588350627	13.727837369571551	5.408879040664462	8.36886028996672	low	False	-0.11337452296011008
1	1	92	16.84864611791242	18.18040425359945	17.684595921747366	20.14566939025554	16.46310443576063	med	True	-0.23186923317063668
1	1	9	7.734213019391929	11.06645940057744	4.696246609610994	10.906816244651054	6.414907233646126	low	False	-0.043329561277062556
1	1	73	13.836174197607344	19.325735171268857	6.14512104668836	4.354925513636887	8.074666496369247	low	True	-0.169157245626681
1	1	11	13.167747096096273	3.265403306945413	12.03546075937886	13.4461834403632	9.77732406913568	low	False	-0.11210867200138397
1	1	1	123.69190684350254	138.36818031352948	159.20824948643275	168.0521195494284	151.89921351544965	med	True	-0.21850861402082733
1	1	5	10.13969582203891	11.004005795838117	4.041867471109217	7.890825622004596	14.090774369811228	low	False	-0.06000743320963564
1	1	16	11.189649617521962	12.543623901636774	8.543479772371247	3.458712242220942	18.250377621026797	low	False	-0.11289183134206104
1	1	4	6.00603407030766	4.023647197578908	7.871296736898601	8.024553357219757	10.663619196273752	med	False	-0.04243388099646295
1	1	13	3.634540346603568	19.667701085758388	5.014865738318905	15.081400245524607	16.012404751373076	med	True	-0.16652761861854848
0	1	213	62.55363283489991	93.3255542576604	95.27810892999996	90.23083908796316	64.0251364032024	med	True	-0.26623929797573087
1	1	7	5.846288731477864	17.36329937425929	15.358671665406815	18.527660630270866	17.373435631025615	low	True	-0.18915680811260194
1	0	18	11.106452059444267	8.846310550195087	24.843948282538697	19.8408994305568	9.93846668448931	high	False	-0.08753043869079613
1	1	1	3.8772547669190343	15.242335867170013	18.22079625606364	8.987977647178882	16.15594702512795	low	True	-0.170088746033504
1	1	14	3.144839289198263	12.576740055462276	3.361330138576183	7.9779253087659265	3.174745773988204	low	False	-0.098096746713768
1	1	39	6.488479258071642	18.025740005650427	16.377421546907637	8.917854178140864	8.421721035467073	low	False	-0.13092945403898404
1	1	38	8.806208013291098	5.1855467912850886	19.099709187930607	7.660657837300882	4.089891309101121	low	False	-0.11243204143449614
1	1	11	4.254888552036217	17.885731861452783	13.24666820365792	10.78291290652103	13.709322734459468	low	False	-0.14323852918960733
1	1	7	7.869776689419835	16.12779459297054	3.5055039396752274	11.64234620776864	7.027307417802964	low	False	-0.08383340507934423
1	1	34	15.614469669722778	6.549803802387956	17.45392781316584	9.938570514691015	17.493048431872406	med	True	-0.16353266589502835
1	1	0	17.714954172754688	15.782082439616756	12.026308802594224	8.10947151361103	14.694690194315664	low	False	-0.1384993209911386
